Phyla,Receptor,Unique_species
Amphibia,GPR183,10
Dipnomorpha,GPR183,1
Coelacanthiformes,GPR183,1
Actinopterygii,GPR183,168
Chondrichthyes,GPR183,9
Cyclostomata,GPR183,0
Tunicata,GPR183,0
Cephalochordata,GPR183,0
Hemichordata,GPR183,0
Echinodermata,GPR183,0
Annelida,GPR183,0
Mollusca,GPR183,0
Arthropoda,GPR183,0
Cnidaria,GPR183,0
Placozoa,GPR183,0
Mammalia,GPR18,244
Archosauria,GPR18,416
Lepidosauria,GPR18,30
Testudines,GPR18,17
Amphibia,GPR18,20
Dipnomorpha,GPR18,1
Coelacanthiformes,GPR18,1
Actinopterygii,GPR18,218
Chondrichthyes,GPR18,18
Cyclostomata,GPR18,1
Tunicata,GPR18,0
Cephalochordata,GPR18,0
Hemichordata,GPR18,0
Echinodermata,GPR18,0
Annelida,GPR18,0
Mollusca,GPR18,0
Arthropoda,GPR18,0
Cnidaria,GPR18,0
Placozoa,GPR18,0
Actinopterygii,GPR31/LIKE,81
Mammalia,GPR31,179
Archosauria,GPR31,0
Lepidosauria,GPR31,0
Testudines,GPR31,13
Amphibia,GPR31,0
Dipnomorpha,GPR31,1
Coelacanthiformes,GPR31,0
Actinopterygii,GPR31,0
Chondrichthyes,GPR31,0
Cyclostomata,GPR31,0
Tunicata,GPR31,0
Cephalochordata,GPR31,0
Hemichordata,GPR31,0
Echinodermata,GPR31,0
Annelida,GPR31,0
Mollusca,GPR31,0
Arthropoda,GPR31,0
Cnidaria,GPR31,0
Placozoa,GPR31,0
Mammalia,GPR34/LIKE,1
Archosauria,GPR34/LIKE,6
Lepidosauria,GPR34/LIKE,3
Testudines,GPR34/LIKE,0
Amphibia,GPR34/LIKE,3
Dipnomorpha,GPR34/LIKE,0
Coelacanthiformes,GPR34/LIKE,1
Actinopterygii,GPR34/LIKE,13
Chondrichthyes,GPR34/LIKE,4
Cyclostomata,GPR34/LIKE,0
Tunicata,GPR34/LIKE,0
Cephalochordata,GPR34/LIKE,0
Hemichordata,GPR34/LIKE,0
Echinodermata,GPR34/LIKE,0
Annelida,GPR34/LIKE,0
Mollusca,GPR34/LIKE,0
Arthropoda,GPR34/LIKE,0
Cnidaria,GPR34/LIKE,0
Placozoa,GPR34/LIKE,0
Mammalia,GPR34,199
Archosauria,GPR34,379
Lepidosauria,GPR34,6
Testudines,GPR34,14
Amphibia,GPR34,12
Dipnomorpha,GPR34,1
Coelacanthiformes,GPR34,1
Actinopterygii,GPR34,149
Chondrichthyes,GPR34,2
Cyclostomata,GPR34,0
Tunicata,GPR34,0
Cephalochordata,GPR34,0
Hemichordata,GPR34,0
Echinodermata,GPR34,0
Annelida,GPR34,0
Mollusca,GPR34,0
Arthropoda,GPR34,0
Cnidaria,GPR34,0
Placozoa,GPR34,0
Mammalia,GPR35,92
Archosauria,GPR35,390
Lepidosauria,GPR35,19
Testudines,GPR35,13
Amphibia,GPR35,8
Dipnomorpha,GPR35,1
Coelacanthiformes,GPR35,1
Actinopterygii,GPR35,30
Chondrichthyes,GPR35,4
Cyclostomata,GPR35,0
Tunicata,GPR35,0
Cephalochordata,GPR35,0
Hemichordata,GPR35,0
Echinodermata,GPR35,0
Annelida,GPR35,0
Mollusca,GPR35,0
Arthropoda,GPR35,0
Cnidaria,GPR35,0
Placozoa,GPR35,0
Mammalia,GPR3,245
Archosauria,GPR3,386
Lepidosauria,GPR3,32
Testudines,GPR3,17
Amphibia,GPR3,5
Dipnomorpha,GPR3,1
Coelacanthiformes,GPR3,1
Actinopterygii,GPR3,157
Chondrichthyes,GPR3,18
Cyclostomata,GPR3,0
Tunicata,GPR3,0
Cephalochordata,GPR3,0
Hemichordata,GPR3,0
Echinodermata,GPR3,0
Annelida,GPR3,0
Mollusca,GPR3,0
Arthropoda,GPR3,0
Cnidaria,GPR3,0
Placozoa,GPR3,0
Mammalia,GPR42,1
