Phyla,Receptor,Sequences
Tunicata,LPAR2,0
Cephalochordata,LPAR2,0
Hemichordata,LPAR2,0
Echinodermata,LPAR2,0
Annelida,LPAR2,0
Mollusca,LPAR2,0
Arthropoda,LPAR2,0
Cnidaria,LPAR2,0
Placozoa,LPAR2,0
Mammalia,LPAR3,247
Archosauria,LPAR3,434
Lepidosauria,LPAR3,32
Testudines,LPAR3,16
Amphibia,LPAR3,25
Dipnomorpha,LPAR3,1
Coelacanthiformes,LPAR3,1
Actinopterygii,LPAR3,252
Chondrichthyes,LPAR3,15
Cyclostomata,LPAR3,0
Tunicata,LPAR3,0
Cephalochordata,LPAR3,0
Hemichordata,LPAR3,0
Echinodermata,LPAR3,0
Annelida,LPAR3,0
Mollusca,LPAR3,0
Arthropoda,LPAR3,0
Cnidaria,LPAR3,0
Placozoa,LPAR3,0
Cyclostomata,LPAR1|LPAR3,4
Mammalia,LPAR4,238
Archosauria,LPAR4,399
Lepidosauria,LPAR4,21
Testudines,LPAR4,14
Amphibia,LPAR4,15
Dipnomorpha,LPAR4,1
Coelacanthiformes,LPAR4,1
Actinopterygii,LPAR4,166
Chondrichthyes,LPAR4,8
Cyclostomata,LPAR4,0
Tunicata,LPAR4,0
Cephalochordata,LPAR4,0
Hemichordata,LPAR4,0
Echinodermata,LPAR4,0
Annelida,LPAR4,0
Mollusca,LPAR4,0
Arthropoda,LPAR4,0
Cnidaria,LPAR4,0
Placozoa,LPAR4,0
Mammalia,LPAR5,211
Archosauria,LPAR5,394
Lepidosauria,LPAR5,22
Testudines,LPAR5,14
Amphibia,LPAR5,13
Dipnomorpha,LPAR5,2
Coelacanthiformes,LPAR5,1
Actinopterygii,LPAR5,0
Chondrichthyes,LPAR5,7
Cyclostomata,LPAR5,0
Tunicata,LPAR5,0
Cephalochordata,LPAR5,0
Hemichordata,LPAR5,0
Echinodermata,LPAR5,0
Annelida,LPAR5,0
Mollusca,LPAR5,0
Arthropoda,LPAR5,0
Cnidaria,LPAR5,0
Placozoa,LPAR5,0
Mammalia,LPAR6,203
Archosauria,LPAR6,391
Lepidosauria,LPAR6,17
Testudines,LPAR6,12
Amphibia,LPAR6,13
Dipnomorpha,LPAR6,1
Coelacanthiformes,LPAR6,1
Actinopterygii,LPAR6,320
Chondrichthyes,LPAR6,8
Cyclostomata,LPAR6,0
Tunicata,LPAR6,0
Cephalochordata,LPAR6,0
Hemichordata,LPAR6,0
Echinodermata,LPAR6,0
Annelida,LPAR6,0
Mollusca,LPAR6,0
Arthropoda,LPAR6,0
Cnidaria,LPAR6,0
Placozoa,LPAR6,0
Lepidosauria,LPAR4|LPAR5,11
Testudines,LPAR4|LPAR5,9
Amphibia,LPAR4|LPAR5,1
Coelacanthiformes,LPAR4|LPAR5,1
Actinopterygii,LPAR4|LPAR5,350
Chondrichthyes,LPAR4|LPAR5,11
Cyclostomata,LPAR4|LPAR5,1
Archosauria,LTB4R1|LTB4R2,101
Lepidosauria,LTB4R1|LTB4R2,17
Actinopterygii,LTB4R1|LTB4R2,348
Chondrichthyes,LTB4R1|LTB4R2,11
Mammalia,LTB4R1,193
Archosauria,LTB4R1,9
Lepidosauria,LTB4R1,21
Testudines,LTB4R1,14
Amphibia,LTB4R1,27
Dipnomorpha,LTB4R1,0
Coelacanthiformes,LTB4R1,1
Actinopterygii,LTB4R1,165
Chondrichthyes,LTB4R1,0
Cyclostomata,LTB4R1,0
Tunicata,LTB4R1,0
Cephalochordata,LTB4R1,0
Hemichordata,LTB4R1,0
Echinodermata,LTB4R1,0
Annelida,LTB4R1,0
Mollusca,LTB4R1,0
Arthropoda,LTB4R1,0
Cnidaria,LTB4R1,0
