Phyla,Receptor,Mode
Mammalia,GPR35,1
Archosauria,GPR35,2
Lepidosauria,GPR35,1
Testudines,GPR35,3
Amphibia,GPR35,2
Dipnomorpha,GPR35,1
Coelacanthiformes,GPR35,2
Actinopterygii,GPR35,1
Chondrichthyes,GPR35,3
Cyclostomata,GPR35,0
Tunicata,GPR35,0
Cephalochordata,GPR35,0
Hemichordata,GPR35,0
Echinodermata,GPR35,0
Annelida,GPR35,0
Mollusca,GPR35,0
Arthropoda,GPR35,0
Cnidaria,GPR35,0
Placozoa,GPR35,0
Mammalia,GPR3,1
Archosauria,GPR3,1
Lepidosauria,GPR3,1
Testudines,GPR3,1
Amphibia,GPR3,1
Dipnomorpha,GPR3,1
Coelacanthiformes,GPR3,1
Actinopterygii,GPR3,1
Chondrichthyes,GPR3,1
Cyclostomata,GPR3,0
Tunicata,GPR3,0
Cephalochordata,GPR3,0
Hemichordata,GPR3,0
Echinodermata,GPR3,0
Annelida,GPR3,0
Mollusca,GPR3,0
Arthropoda,GPR3,0
Cnidaria,GPR3,0
Placozoa,GPR3,0
Cyclostomata,GPR3|GPR12,1
Mammalia,GPR42,1
Archosauria,GPR42,0
Lepidosauria,GPR42,0
Testudines,GPR42,0
Amphibia,GPR42,0
Dipnomorpha,GPR42,0
Coelacanthiformes,GPR42,0
Actinopterygii,GPR42,0
Chondrichthyes,GPR42,0
Cyclostomata,GPR42,0
Tunicata,GPR42,0
Cephalochordata,GPR42,0
Hemichordata,GPR42,0
Echinodermata,GPR42,0
Annelida,GPR42,0
Mollusca,GPR42,0
Arthropoda,GPR42,0
Cnidaria,GPR42,0
Placozoa,GPR42,0
Mammalia,GPR55/LIKE,1
Archosauria,GPR55/LIKE,1
Lepidosauria,GPR55/LIKE,1
Testudines,GPR55/LIKE,1
Amphibia,GPR55/LIKE,1
Dipnomorpha,GPR55/LIKE,0
Coelacanthiformes,GPR55/LIKE,1
Actinopterygii,GPR55/LIKE,1
Chondrichthyes,GPR55/LIKE,5
Cyclostomata,GPR55/LIKE,0
Tunicata,GPR55/LIKE,0
Cephalochordata,GPR55/LIKE,0
Hemichordata,GPR55/LIKE,0
Echinodermata,GPR55/LIKE,0
Annelida,GPR55/LIKE,0
Mollusca,GPR55/LIKE,0
Arthropoda,GPR55/LIKE,0
Cnidaria,GPR55/LIKE,0
Placozoa,GPR55/LIKE,0
Mammalia,GPR55,1
Archosauria,GPR55,1
Lepidosauria,GPR55,0
Testudines,GPR55,2
Amphibia,GPR55,1
Dipnomorpha,GPR55,1
Coelacanthiformes,GPR55,1
Actinopterygii,GPR55,1
Chondrichthyes,GPR55,1
Cyclostomata,GPR55,0
Tunicata,GPR55,0
Cephalochordata,GPR55,0
Hemichordata,GPR55,0
Echinodermata,GPR55,0
Annelida,GPR55,0
Mollusca,GPR55,0
Arthropoda,GPR55,0
Cnidaria,GPR55,0
Placozoa,GPR55,0
Mammalia,GPR6,1
Archosauria,GPR6,1
Lepidosauria,GPR6,1
Testudines,GPR6,1
Amphibia,GPR6,1
Dipnomorpha,GPR6,1
Coelacanthiformes,GPR6,1
Actinopterygii,GPR6,1
Chondrichthyes,GPR6,1
Cyclostomata,GPR6,0
Tunicata,GPR6,0
Cephalochordata,GPR6,0
Hemichordata,GPR6,0
Echinodermata,GPR6,0
Annelida,GPR6,0
Mollusca,GPR6,0
Arthropoda,GPR6,0
Cnidaria,GPR6,0
Placozoa,GPR6,0
Mammalia,GPR82,1
Archosauria,GPR82,1
Lepidosauria,GPR82,0
Testudines,GPR82,1
Amphibia,GPR82,1
Dipnomorpha,GPR82,2
Coelacanthiformes,GPR82,1
Actinopterygii,GPR82,1
Chondrichthyes,GPR82,1
Cyclostomata,GPR82,0
Tunicata,GPR82,0
Cephalochordata,GPR82,0
Hemichordata,GPR82,0
Echinodermata,GPR82,0
Annelida,GPR82,0
Mollusca,GPR82,0
Arthropoda,GPR82,0
Cnidaria,GPR82,0
Placozoa,GPR82,0
Mammalia,GPR84,1
Archosauria,GPR84,1
Lepidosauria,GPR84,1
Testudines,GPR84,1
Amphibia,GPR84,1
Dipnomorpha,GPR84,1
Coelacanthiformes,GPR84,1
Actinopterygii,GPR84,1
Chondrichthyes,GPR84,1
Cyclostomata,GPR84,1
Tunicata,GPR84,0
Cephalochordata,GPR84,0
Hemichordata,GPR84,0
Echinodermata,GPR84,0
Annelida,GPR84,0
Mollusca,GPR84,0
Arthropoda,GPR84,0
Cnidaria,GPR84,0
Placozoa,GPR84,0
Mammalia,GPR87,1
Archosauria,GPR87,1
Lepidosauria,GPR87,1
Testudines,GPR87,1
Amphibia,GPR87,1
Dipnomorpha,GPR87,0
Coelacanthiformes,GPR87,2
Actinopterygii,GPR87,1
Chondrichthyes,GPR87,1
Cyclostomata,GPR87,0
Tunicata,GPR87,0
Cephalochordata,GPR87,0
Hemichordata,GPR87,0
Echinodermata,GPR87,0
Annelida,GPR87,0
Mollusca,GPR87,0
Arthropoda,GPR87,0
